-4.10847,-4.28781,15.6316,
-7.5912,-3.15492,11.5384,
-2.49223,6.62677,10.3527,
4.00823,-0.541452,17.2825,
-5.73086,3.07213,14.2501,
-8.2586,-5.84816,15.9309,
2.9238,-2.85524,19.6608,
-8.1458,3.53339,14.2523,
2.33159,-0.860694,15.3101,
-0.133913,-9.48273,10.2534,
0.825447,-5.73185,11.4548,
7.16624,5.5228,13.7533,
1.69919,3.75031,19.3772,
3.46714,5.6692,17.6489,
7.47566,4.4952,18.0438,
-0.885533,-5.17873,11.5147,
9.47432,-7.43681,17.9741,
-8.73161,-9.53761,17.9794,
5.27806,7.35812,12.6038,
-3.2358,4.82956,19.4532,
0.599126,9.15693,10.6457,
3.39157,6.96571,12.5594,
-5.15994,-8.05312,16.8694,
-5.2409,2.22834,18.4614,
-4.30592,3.8559,10.6315,
-7.5733,7.81171,12.8456,
8.366,6.35322,13.8531,
5.78712,6.96135,10.5785,
2.86803,0.0219296,10.147,
-8.82011,4.29537,19.9409,
4.45036,-2.17178,12.0593,
-3.52387,4.60313,10.6777,
6.48969,0.564507,16.9288,
9.85561,-2.34668,18.3435,
1.61701,8.81946,19.2594,
-0.308204,-0.0635578,16.5211,
-6.63346,3.28118,17.0957,
1.27372,-5.29948,10.2149,
3.77754,8.64564,13.8966,
8.02495,6.73071,14.82,
-7.70296,3.73971,12.5872,
3.01511,7.53179,19.112,
0.95662,0.604525,15.8788,
1.94353,-7.5936,17.52,
-8.8736,-7.28122,17.85,
-2.27593,-1.00372,15.5808,
6.69628,7.3546,14.1085,
4.12074,0.213035,14.7256,
1.78793,-8.60858,13.298,
